Kod;Nazwa;2017;2018;2019;2020;2021;
1815000;"Powiat ropczycko-sędziszowski";3675,99;3898,22;4216,57;4401,73;4730,10;
1816000;"Powiat rzeszowski";3693,03;3979,24;4304,89;4614,22;4995,32;
1817000;"Powiat sanocki";3626,55;3874,15;4160,41;4431,17;4903,78;
1818000;"Powiat stalowowolski";4049,03;4272,16;4611,67;4777,46;5263,24;
1819000;"Powiat strzyżowski";3209,49;3459,69;3686,34;4052,65;4406,16;
1820000;"Powiat tarnobrzeski";3879,26;4150,05;4329,59;4723,98;5181,79;
1821000;"Powiat leski";3945,70;4172,71;4450,43;4832,85;5247,07;
1861000;"Powiat m.Krosno";3608,07;3875,04;4217,51;4424,93;4981,20;
1862000;"Powiat m.Przemyśl";3633,05;3828,38;4078,09;4522,95;5100,21;
1863000;"Powiat m.Rzeszów";4510,48;4802,41;5117,26;5518,24;6072,54;
1864000;"Powiat m.Tarnobrzeg";3610,23;3808,19;4146,90;4578,25;5062,44;
2001000;"Powiat augustowski";4024,64;4262,39;4634,41;5009,19;5452,84;
2002000;"Powiat białostocki";3614,69;3923,93;4189,60;4456,25;4979,46;
2003000;"Powiat bielski";4659,62;4953,29;5295,45;5547,83;6292,55;
2004000;"Powiat grajewski";4329,42;4556,32;4758,98;4970,21;5526,33;
2005000;"Powiat hajnowski";4149,69;4389,58;4690,11;5165,59;5821,15;
2006000;"Powiat kolneński";3683,54;3859,50;4089,17;4475,28;4825,66;
2007000;"Powiat łomżyński";4066,19;4368,68;4589,37;5174,98;5432,47;
2008000;"Powiat moniecki";3651,65;3933,72;4216,50;4601,73;4979,24;
2009000;"Powiat sejneński";3825,14;4092,18;4327,40;4486,11;4537,00;
2010000;"Powiat siemiatycki";3581,00;3773,68;4231,02;4473,99;4834,47;
2011000;"Powiat sokólski";3662,06;3951,21;4200,08;4528,86;4968,42;
2012000;"Powiat suwalski";3556,25;3762,50;3871,65;4201,41;4724,29;
